student_id,grade_level,age,gender,race_ethnicity,free_reduced_lunch,ell_status,iep_status,section_504,gifted_program,current_gpa,cumulative_gpa,gpa_trend,course_failures_total,grade_retained_ever,years_data_available,credits_earned,recent_Reading_Grade,recent_Math_Grade,recent_Science_Grade,recent_Social_Studies_Grade,recent_year_gpa,recent_ELA_Grade,recent_Elective1_Grade,recent_Elective2_Grade,recent_English_Grade,recent_PE_Grade,attendance_rate,chronic_absenteeism,tardiness_rate,behavior_score,disciplinary_incidents,suspensions,extracurricular_count,parent_engagement_level,technology_access,success_probability,current_success,risk_category,next_grade_success_pred,next_grade_success_prob,graduation_prediction,graduation_probability
1,4,10,F,Hispanic,0,0,0,0,0,2.72,3.02,-0.5,0,0,3,24,3.06,2.71,2.36,2.74,2.72,,,,,,0.903,0,0.008,0.969,0,0,0,1,1,0.95,1,Low Risk,1,0.923,,
2,8,12,F,Black,0,0,0,0,0,3.53,3.18,-0.19,0,0,3,48,,3.45,3.49,3.97,3.53,3.78,2.84,3.67,,,0.828,1,0.028,0.948,0,0,0,1,1,0.933,1,Low Risk,1,0.858,,
3,5,10,F,White,0,0,0,0,0,3.66,3.55,0.09,0,0,3,30,3.39,3.63,4.0,3.6,3.66,,,,,,0.863,1,0.005,1.0,0,0,0,0,1,0.95,1,Low Risk,1,0.95,,
4,6,11,M,Hispanic,0,0,1,1,0,2.48,3.02,-1.15,0,0,3,36,,2.51,2.43,2.64,2.48,2.12,2.54,2.66,,,0.888,1,0.003,0.865,2,1,0,1,1,0.723,1,Medium Risk,1,0.762,,
5,3,7,F,White,0,0,0,0,0,3.63,3.45,0.2,0,0,3,18,3.54,3.46,3.67,3.86,3.63,,,,,,0.99,0,0.007,0.98,0,0,0,1,1,0.95,0,Low Risk,1,0.95,,
6,8,13,F,Hispanic,0,1,0,0,0,2.42,2.63,-0.24,0,0,3,48,,2.2,2.34,2.72,2.42,2.68,2.11,2.47,,,0.947,0,0.023,0.988,0,0,0,0,1,0.802,1,Low Risk,1,0.856,,
7,7,13,M,White,0,0,0,0,0,3.8,3.41,-0.2,0,0,3,42,,3.93,3.93,3.78,3.8,3.74,3.83,3.57,,,0.902,0,0.03,0.896,0,0,2,0,1,0.95,0,Low Risk,1,0.95,,
8,4,9,F,White,1,0,1,0,0,3.04,2.7,0.17,0,0,3,24,3.31,2.92,3.19,2.73,3.04,,,,,,0.822,1,0.004,0.73,0,0,1,0,1,0.778,0,Medium Risk,1,0.761,,
9,0,5,F,Hispanic,1,0,0,0,0,3.46,3.46,0.0,0,0,1,0,3.73,3.37,3.24,3.52,3.46,,,,,,0.648,1,0.125,1.0,0,0,1,1,1,0.908,1,Low Risk,1,0.948,,
10,7,12,M,White,0,0,0,0,0,3.46,3.14,-0.04,0,0,3,42,,3.31,3.62,3.31,3.46,3.34,3.67,3.54,,,0.983,0,0.004,0.77,2,0,0,0,1,0.95,1,Low Risk,1,0.88,,
11,1,6,F,Hispanic,1,0,0,0,0,2.97,3.06,-0.17,0,0,2,6,2.61,2.48,3.71,3.07,2.97,,,,,,0.99,0,0.028,0.84,0,0,0,1,0,0.95,0,Low Risk,1,0.85,,
12,1,5,F,White,0,1,0,0,0,3.22,3.28,-0.11,0,0,2,6,3.32,3.49,3.41,2.67,3.22,,,,,,0.99,0,0.009,0.956,0,0,0,1,1,0.95,1,Low Risk,1,0.911,,
13,2,6,M,White,1,0,0,0,0,2.01,2.96,-1.45,0,0,3,12,1.88,1.78,2.13,2.24,2.01,,,,,,0.855,1,0.009,0.987,0,0,0,1,1,0.703,1,Medium Risk,1,0.679,,
14,2,7,F,Black,1,0,0,0,0,3.47,3.19,0.76,0,0,3,12,3.68,3.18,3.45,3.57,3.47,,,,,,0.947,0,0.012,0.895,0,0,0,1,1,0.95,1,Low Risk,1,0.937,,
15,10,15,M,Hispanic,0,0,0,0,1,3.89,3.8,0.26,0,0,3,60,,4.0,3.58,4.0,3.89,,3.75,4.0,3.89,4.0,0.847,1,0.001,0.875,1,0,2,1,1,0.95,1,Low Risk,1,0.95,1.0,0.95
16,3,8,F,White,1,1,0,0,0,2.74,2.83,-0.08,0,0,3,18,2.79,2.65,2.74,2.77,2.74,,,,,,0.742,1,0.09,0.746,1,0,0,2,1,0.729,1,Medium Risk,1,0.624,,
17,3,7,F,Hispanic,0,0,1,0,0,3.3,3.46,-0.26,0,0,3,18,3.33,3.09,3.47,3.3,3.3,,,,,,0.99,0,0.03,0.818,2,0,1,2,1,0.95,1,Low Risk,0,0.862,,
18,5,11,M,Hispanic,1,0,0,0,0,2.5,2.36,-0.08,0,0,3,30,2.51,2.41,2.8,2.27,2.5,,,,,,0.841,1,0.11,0.797,0,0,1,1,1,0.772,1,Medium Risk,1,0.755,,
